Date,Timestamp,GameEvent,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber
2020-05-05,11:14:52.8182,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1166207,0.016631,NA,NA,NA,NA,6,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,6,
2020-05-05,11:14:52.8502,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.8834,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0334356,0.0334356,NA,WrongKey,H,K,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.9163,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0666333,0.0331977,NA,WrongKey,J,None,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.9666,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.1168735,0.0502402,NA,WrongKey,L,None,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:52.9676,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.133458,0.0165845,NA,NA,NA,NA,7,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,7,
2020-05-05,11:14:53.0016,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,8,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,8,
2020-05-05,11:14:53.0327,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0334336,0.0334336,NA,WrongKey,H,K,8,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,8,
2020-05-05,11:14:53.0825,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0835633,0.0501297,NA,WrongKey,J,None,8,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,8,
2020-05-05,11:14:53.1171,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.1167821,0.0332188,NA,WrongKey,L,None,8,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,8,
2020-05-05,11:14:53.1181,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1337215,0.0169394,NA,NA,NA,NA,8,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,8,
2020-05-05,11:14:53.1520,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,9,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,9,
2020-05-05,11:14:53.1825,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0333625,0.0333625,NA,WrongKey,H,K,9,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,9,
2020-05-05,11:14:53.2163,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.067305,0.0339425,NA,WrongKey,J,None,9,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,9,
2020-05-05,11:14:53.2494,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.099923,0.032618,NA,WrongKey,L,None,9,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,9,
2020-05-05,11:14:53.2514,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1167118,0.0167888,NA,NA,NA,NA,9,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,9,
